Released_Year,Game_Type,Age_Category,Min_Players,Max_Players,Average_Rating,Adjusted_Average_Complexity,Play_Time_Category,Engagement_Metrics
2008,BaseGame,under 5,2,2,7.5,1.711317698429467,Median_Games,1.8333333333333333
2011,BaseGame,12 to under 18,3,5,7.1,2.1855532079723927,Median_Games,5.166666666666667
1987,BaseGame,5 to under 12,2,4,5.86909,1.256074371434608,Median_Games,189.33333333333334
2009,BaseGame,12 to under 18,2,12,7.31579,2.0669765476442,Very_Long_Games,21.333333333333332
2010,BaseGame,5 to under 12,2,2,6.86667,2.422635396858934,Median_Games,1.8333333333333333
1999,PremiumGame,12 to under 18,2,8,7.22222,1.711317698429467,Average_Games,32.333333333333336
1999,PremiumGame,12 to under 18,2,10,7.5692,1.5927410381012743,Long_Games,177.83333333333334
2008,BaseGame,under 5,2,4,3.0,1.0,Median_Games,1.0
1980,BaseGame,5 to under 12,2,6,2.0,1.0,Median_Games,0.5
1989,BaseGame,under 5,2,6,6.23333,1.948399887316008,Average_Games,14.0
2008,BaseGame,5 to under 12,2,2,6.83333,1.711317698429467,Average_Games,9.5
2012,BaseGame,5 to under 12,2,10,7.27142,1.711317698429467,Short_Games,8.0
2010,BaseGame,under 5,2,4,4.93939,1.0,Median_Games,13.333333333333334
1998,BaseGame,12 to under 18,2,6,5.525,1.711317698429467,Long_Games,27.666666666666668
1993,BaseGame,12 to under 18,2,6,6.319,1.6224029861257834,Average_Games,87.5
1995,BaseGame,under 5,2,6,6.0,2.422635396858934,Long_Games,1.5
2002,BaseGame,5 to under 12,2,6,4.97167,1.0,Median_Games,20.166666666666668
2006,BaseGame,under 5,2,4,4.63684,1.0,Median_Games,7.833333333333333
2014,BaseGame,12 to under 18,2,4,6.91667,1.3556588492147337,Median_Games,6.666666666666667
2002,BaseGame,under 5,2,2,7.0,1.711317698429467,Median_Games,0.8333333333333334
2014,BaseGame,5 to under 12,1,1,7.23889,1.237082188886541,Median_Games,11.333333333333334
2007,PremiumGame,5 to under 12,2,2,6.54314,1.323293893936193,Median_Games,91.33333333333333
2012,BaseGame,5 to under 12,3,5,7.11207,2.3209880977533626,Long_Games,71.33333333333333
2013,PremiumGame,12 to under 18,4,30,7.07626,1.1976040566237058,Median_Games,382.3333333333333
2007,BaseGame,5 to under 12,3,5,5.24,1.4742355095429256,Median_Games,23.833333333333332
1998,BaseGame,5 to under 12,2,4,4.92188,1.8535812381153605,Average_Games,34.166666666666664
2015,BaseGame,5 to under 12,2,6,7.58333,1.0,Median_Games,4.833333333333333
2013,PremiumGame,12 to under 18,2,6,8.26027,2.2305796182829773,Average_Games,3003.6666666666665
2007,BaseGame,5 to under 12,2,4,6.82467,2.5140728220297204,Long_Games,835.1666666666666
2013,BaseGame,5 to under 12,2,5,6.19231,1.0,Median_Games,13.166666666666666
2015,BaseGame,5 to under 12,2,4,7.20078,1.6187266708923165,Median_Games,564.8333333333334
2014,PremiumGame,12 to under 18,1,2,7.71429,3.1339530952884007,Median_Games,18.666666666666668
1998,BaseGame,5 to under 12,3,6,6.37801,1.1821931121909994,Median_Games,729.0
2010,BaseGame,12 to under 18,2,2,6.08636,1.5690541587435731,Median_Games,34.166666666666664
2006,BaseGame,12 to under 18,2,2,5.115,1.8129649975350377,Average_Games,76.5
2013,BaseGame,5 to under 12,2,5,6.83333,1.711317698429467,Average_Games,23.0
2007,BaseGame,12 to under 18,2,6,4.81818,2.0669765476442,Average_Games,9.833333333333334
2013,PremiumGame,5 to under 12,2,6,7.56304,1.711317698429467,Average_Games,34.166666666666664
2014,BaseGame,12 to under 18,2,4,7.3756,2.1262293119233746,Average_Games,75.0
1984,BaseGame,5 to under 12,2,4,6.79167,1.0,Short_Games,4.5
1993,BaseGame,5 to under 12,2,2,2.66667,1.0,Short_Games,2.5
2010,BaseGame,12 to under 18,2,6,6.24969,1.3048707655468696,Average_Games,82.33333333333333
1988,PremiumGame,12 to under 18,2,2,7.58252,3.4026889217550527,Long_Games,269.5
2007,BaseGame,under 5,3,6,6.24333,1.711317698429467,Median_Games,21.166666666666668
2007,BaseGame,5 to under 12,2,4,5.37969,1.7824494682724137,Median_Games,50.166666666666664
1998,BaseGame,5 to under 12,2,5,6.57647,1.237082188886541,Median_Games,26.666666666666668
2015,BaseGame,12 to under 18,2,4,7.83621,1.711317698429467,Long_Games,363.6666666666667
2014,PremiumGame,12 to under 18,2,4,7.73077,1.0,Average_Games,29.333333333333332
2012,BaseGame,12 to under 18,1,4,4.5,1.711317698429467,Average_Games,1.5
2009,BaseGame,12 to under 18,2,15,6.125,1.0,Median_Games,5.0
2008,BaseGame,5 to under 12,1,6,6.59481,1.2510240157757586,Median_Games,62.0
2014,BaseGame,12 to under 18,2,4,7.78876,2.01362772026199,Median_Games,520.3333333333334
2014,PremiumGame,5 to under 12,1,6,7.94268,1.895762377632228,Median_Games,406.5
1988,BaseGame,12 to under 18,2,2,5.7939,1.711317698429467,Median_Games,58.166666666666664
2005,BaseGame,12 to under 18,1,2,6.7,1.0,Average_Games,14.0
2007,BaseGame,under 5,2,4,4.66667,1.711317698429467,Very_Short_Games,1.8333333333333333
2006,PremiumGame,5 to under 12,2,6,6.57816,1.897532220578914,Average_Games,2385.5
2011,BaseGame,5 to under 12,2,6,6.52218,1.324195365870836,Short_Games,1327.6666666666667
1984,BaseGame,12 to under 18,2,2,6.34824,2.28037185717304,Very_Long_Games,71.83333333333333
2014,BaseGame,under 5,2,8,7.75,1.0,Short_Games,1.6666666666666667
2005,BaseGame,12 to under 18,2,6,6.61387,2.9947179378829496,Very_Long_Games,2019.1666666666667
2002,BaseGame,5 to under 12,3,7,4.9,1.0,Average_Games,14.0
2010,BaseGame,5 to under 12,2,2,6.875,1.711317698429467,Short_Games,7.0
2005,PremiumGame,5 to under 12,2,4,6.80283,1.908068173815057,Median_Games,199.5
1999,BaseGame,under 5,1,4,4.5,1.0,Short_Games,1.6666666666666667
2014,BaseGame,5 to under 12,1,4,7.4,1.4742355095429256,Median_Games,14.0
2007,BaseGame,under 5,2,4,5.43,1.0,Median_Games,54.833333333333336
2013,BaseGame,12 to under 18,2,6,8.22222,2.422635396858934,Long_Games,3.1666666666666665
2010,BaseGame,12 to under 18,3,5,6.96208,2.4173054440453554,Long_Games,637.6666666666666
1986,BaseGame,12 to under 18,2,2,5.90353,1.840635256003944,Long_Games,123.5
1999,BaseGame,under 5,2,2,5.73333,1.711317698429467,Short_Games,12.833333333333334
2009,BaseGame,5 to under 12,2,5,5.94031,1.3454870061271922,Short_Games,149.16666666666666
1980,BaseGame,12 to under 18,2,6,4.46324,1.711317698429467,Long_Games,26.0
1981,BaseGame,5 to under 12,2,2,4.5,1.0,Median_Games,1.0
2002,BaseGame,5 to under 12,2,5,5.8864,1.3775730685259524,Average_Games,389.1666666666667
2001,BaseGame,under 5,2,4,3.5,1.711317698429467,Median_Games,4.833333333333333
2011,BaseGame,5 to under 12,2,4,7.38889,1.711317698429467,Median_Games,8.666666666666666
1996,BaseGame,5 to under 12,2,4,5.88801,1.5186928656947671,Median_Games,159.16666666666666
2013,BaseGame,12 to under 18,3,5,5.73427,2.2092400873300937,Average_Games,57.833333333333336
2010,PremiumGame,12 to under 18,1,8,7.18182,2.422635396858934,Median_Games,12.5
1999,BaseGame,5 to under 12,2,4,3.95,1.0,Short_Games,3.8333333333333335
2008,BaseGame,5 to under 12,3,6,6.76584,1.923311500809916,Average_Games,469.1666666666667
2013,BaseGame,12 to under 18,1,2,7.6858,1.9247130079583068,Median_Games,281.5
2008,PremiumGame,12 to under 18,2,6,7.63194,1.0,Long_Games,45.5
2007,BaseGame,12 to under 18,2,6,6.12031,1.237082188886541,Median_Games,60.666666666666664
2010,BaseGame,12 to under 18,1,1,7.62558,2.13285724346785,Median_Games,287.3333333333333
2008,BaseGame,5 to under 12,2,2,5.15,1.237082188886541,Short_Games,7.0
2010,BaseGame,5 to under 12,4,9,6.84156,1.2032234664412989,Median_Games,119.5
2006,BaseGame,12 to under 18,2,2,7.28718,2.4489541517008235,Median_Games,119.66666666666667
1992,BaseGame,12 to under 18,1,8,5.11067,2.6597175857454745,Average_Games,21.666666666666668
2008,BaseGame,under 5,2,4,3.5,1.0,Median_Games,4.0
2008,BaseGame,under 5,1,2,7.53571,1.4742355095429256,Long_Games,21.666666666666668
2012,PremiumGame,5 to under 12,3,6,6.95424,1.4267906190576802,Long_Games,128.83333333333334
2004,BaseGame,12 to under 18,2,5,6.7116,2.1700161983238253,Average_Games,1286.0
2013,BaseGame,5 to under 12,2,4,6.48104,1.042386083527009,Median_Games,332.6666666666667
1981,BaseGame,5 to under 12,2,4,6.56246,1.6436002535389815,Average_Games,62.333333333333336
1996,BaseGame,5 to under 12,2,4,6.78261,1.0,Very_Short_Games,22.333333333333332
2017,BaseGame,5 to under 12,2,6,4.22941,1.0,Mini_Games,35.333333333333336
1998,BaseGame,5 to under 12,2,4,5.96515,1.1016472991055708,Median_Games,33.166666666666664
2011,BaseGame,12 to under 18,2,5,6.87549,3.091293753081203,Long_Games,320.5
1989,BaseGame,5 to under 12,2,6,5.46635,1.1422635396858931,Short_Games,55.666666666666664
2000,BaseGame,under 5,3,5,6.12917,1.4742355095429256,Average_Games,22.666666666666668
2014,PremiumGame,12 to under 18,2,6,7.80703,2.1855532079723927,Long_Games,637.0
2012,BaseGame,12 to under 18,2,2,7.38128,2.1248778082963584,Long_Games,491.5
2008,BaseGame,12 to under 18,4,18,7.81814,1.1623522783294598,Long_Games,830.6666666666666
2011,BaseGame,12 to under 18,2,2,6.6625,3.1339530952884007,Average_Games,4.833333333333333
2014,BaseGame,5 to under 12,2,2,6.42714,1.508094231988168,Median_Games,149.33333333333334
2010,BaseGame,12 to under 18,1,2,7.0,1.0,Average_Games,2.0
2013,PremiumGame,5 to under 12,2,4,7.5,1.0,Average_Games,12.0
2014,BaseGame,5 to under 12,2,2,6.0,1.711317698429467,Very_Short_Games,3.0
2011,BaseGame,5 to under 12,3,11,7.02339,1.4829565462356504,Median_Games,502.0
2008,BaseGame,under 5,2,2,7.30769,1.711317698429467,Short_Games,14.166666666666666
2015,BaseGame,12 to under 18,2,2,8.83333,2.0669765476442,Average_Games,5.666666666666667
2010,BaseGame,5 to under 12,2,2,4.0,1.711317698429467,Median_Games,1.3333333333333333
1992,BaseGame,under 5,2,4,6.97508,1.101112754419325,Short_Games,2495.8333333333335
2009,BaseGame,12 to under 18,4,50,5.46125,1.0,Long_Games,12.5
2004,BaseGame,5 to under 12,2,2,6.48462,1.237082188886541,Very_Short_Games,10.666666666666666
2012,BaseGame,12 to under 18,2,6,7.11111,1.711317698429467,Average_Games,8.166666666666666
2015,BaseGame,5 to under 12,2,4,7.0,1.711317698429467,Long_Games,1.3333333333333333
2012,BaseGame,under 5,2,4,5.52344,1.0,Short_Games,13.333333333333334
1980,BaseGame,5 to under 12,2,4,6.01579,1.4064469328825973,Median_Games,25.333333333333332
2012,BaseGame,12 to under 18,1,4,5.46603,1.711317698429467,Median_Games,114.83333333333333
2005,PremiumGame,5 to under 12,2,6,6.91813,1.843053736178604,Long_Games,368.1666666666667
1982,BaseGame,5 to under 12,2,6,5.0,1.0,Average_Games,0.5
2012,BaseGame,12 to under 18,2,4,7.18639,2.411509261215578,Average_Games,539.3333333333334
1991,BaseGame,12 to under 18,2,2,4.16667,1.711317698429467,Very_Long_Games,8.5
1981,BaseGame,5 to under 12,2,4,4.8,1.0,Median_Games,3.0
2008,BaseGame,12 to under 18,3,5,6.49431,2.536446228607649,Long_Games,79.83333333333333
2011,PremiumGame,12 to under 18,2,12,8.375,2.896870906401859,Long_Games,16.333333333333332
1996,BaseGame,5 to under 12,2,4,5.7625,1.4742355095429256,Median_Games,25.666666666666668
2008,BaseGame,5 to under 12,2,4,6.78415,2.058937953376998,Average_Games,347.5
2015,BaseGame,12 to under 18,1,6,8.44281,2.422635396858934,Median_Games,22.833333333333332
2008,PremiumGame,under 5,2,5,6.91176,1.5927410381012743,Median_Games,60.333333333333336
2002,BaseGame,12 to under 18,2,2,7.47778,1.948399887316008,Average_Games,20.833333333333332
2015,PremiumGame,12 to under 18,2,2,8.75,2.778294246073667,Median_Games,22.833333333333332
2010,BaseGame,5 to under 12,2,2,7.3125,1.0,Median_Games,4.5
