Game_ID,Game_Name,Released_Year,Game_Type,Age_Category,Min_Players,Max_Players,Average_Complexity,Complexity_Raters,Average_Play_Time,Owner_Number,Trader_Number,HighInterest_Number,Interest_Number,Rater_Number,Comment_Number,Average_Rating,Adjusted_Average_Complexity,Play_Time_Category
19713,Elemental,1999,BaseGame,5 to under 12,2,4,2.0,1,45,66,7,2,5,18,10,6.12222,1.711317698429467,Median_Games
13190,Swing States 2012,2012,BaseGame,12 to under 18,1,1,2.2727,11,40,152,9,24,49,54,24,7.33019,1.9052940347911824,Median_Games
10176,Triassic Terror,2013,BaseGame,12 to under 18,2,6,2.7442,43,120,771,29,104,321,457,156,7.09125,2.2406803296006763,Long_Games
8916,Dixit,2008,BaseGame,5 to under 12,3,6,1.2695,1332,30,27631,286,475,2997,22099,4289,7.41665,1.3883970702162125,Median_Games
62515,Alien Uprising: Zothren Expansion,2014,PremiumGame,12 to under 18,1,5,2.0,1,90,266,18,3,6,16,16,5.6875,1.711317698429467,Long_Games
10080,Dreadfleet,2011,BaseGame,12 to under 18,2,10,2.9483,58,60,2379,109,65,289,610,245,7.09664,2.38586027185013,Average_Games
30875,Word Rally!,1999,BaseGame,5 to under 12,2,10,1.0,1,10,17,2,0,0,4,3,4.5,1.0,Short_Games
48190,Wyvern Pass Not,2010,BaseGame,5 to under 12,1,1,1.0,1,5,7,0,0,1,6,2,5.66667,1.0,Very_Short_Games
40599,Munchkin 1.5: Koci zostay rzucone,2009,PremiumGame,under 5,3,6,2.0,3,45,103,0,7,12,61,7,6.33934,1.711317698429467,Median_Games
56129,Mines of the Sacred Dragon: Tile Exp Set #3,2012,PremiumGame,5 to under 12,1,5,1.0,1,30,11,1,0,2,1,0,10.0,1.0,Median_Games
17510,Turbulent Top,1996,BaseGame,5 to under 12,2,8,1.0,5,10,72,10,4,2,32,17,5.14062,1.0,Short_Games
8374,Conquest of the Fallen Lands,2005,BaseGame,5 to under 12,3,5,2.3673,98,90,848,72,80,318,696,321,6.87106,1.9892569899288683,Long_Games
39609,Power Grid: Flux Generator,2008,PremiumGame,under 5,2,6,2.931,29,120,2151,84,44,102,517,215,7.50774,2.3735544756673006,Long_Games
42165,BattleLore: Heroes Expansion,2009,PremiumGame,12 to under 18,2,2,2.7826,23,60,1166,25,81,143,238,92,7.30546,2.267994929220368,Average_Games
34664,Triple Crown,1984,BaseGame,under 5,2,4,1.0,1,45,0,0,0,0,1,1,5.0,1.0,Median_Games
22336,3quence,1999,BaseGame,5 to under 12,2,4,2.0,1,45,3,0,0,1,2,1,3.5,1.711317698429467,Median_Games
32246,.45 Adventure: Crimefighting Action in the Pulp Era,2005,PremiumGame,12 to under 18,2,6,2.5,2,120,51,2,3,12,23,9,7.42174,2.0669765476442,Long_Games
47521,Don't Let the Pigeon Drive the Bus Game!,2010,BaseGame,under 5,2,4,1.5,2,20,48,0,1,3,23,10,4.63043,1.3556588492147337,Median_Games
40088,"Thiet Giap, the struggle for An Loc (1972)",2008,BaseGame,under 5,2,2,2.2,5,120,75,0,1,3,17,14,6.14706,1.8535812381153605,Long_Games
19997,The Buntu Circus,1997,BaseGame,under 5,2,4,4.0,2,90,19,0,3,3,6,5,6.5,3.1339530952884007,Long_Games
65135,Pirate's Island: Escape,2014,BaseGame,12 to under 18,2,6,3.0,1,60,10,1,1,6,3,1,5.66667,2.422635396858934,Average_Games
33971,Mayberry-opoly,2006,BaseGame,5 to under 12,2,6,1.0,1,120,3,0,0,0,2,1,2.0,1.0,Long_Games
35348,MageBattle,2008,BaseGame,5 to under 12,2,2,3.0,1,30,21,1,0,3,16,7,6.40625,2.422635396858934,Median_Games
7886,Impulse,2013,BaseGame,12 to under 18,2,6,2.8442,77,60,1737,87,191,672,887,302,7.17085,2.331843087541376,Average_Games
11272,Santa Fe,1992,BaseGame,5 to under 12,2,5,2.2143,14,70,252,7,19,46,205,62,6.93862,1.8637530812029013,Average_Games
40113,Cthulhu: Tora! Tora! Tora!,2008,BaseGame,under 5,2,2,2.0,1,20,4,0,0,2,2,3,7.5,1.711317698429467,Median_Games
56038,Trollmaster,2011,BaseGame,12 to under 18,3,5,2.6667,3,30,14,0,2,5,7,3,7.1,2.1855532079723927,Median_Games
14173,Screaming Eagles,1987,BaseGame,5 to under 12,2,4,1.36,25,20,584,101,10,26,270,145,5.86909,1.256074371434608,Median_Games
43026,Klingon Armada,2009,BaseGame,12 to under 18,2,12,2.5,4,180,80,0,5,16,19,8,7.31579,2.0669765476442,Very_Long_Games
49880,Nile,2010,BaseGame,5 to under 12,2,2,3.0,1,45,6,0,0,0,3,2,6.86667,2.422635396858934,Median_Games
48006,RoboRally: King of the Hill,1999,PremiumGame,12 to under 18,2,8,2.0,1,60,33,0,50,79,18,14,7.22222,1.711317698429467,Average_Games
20195,Formula D Circuits 17 & 18: Buenos-Aires & Barcelona,1999,PremiumGame,12 to under 18,2,10,1.8333,18,120,642,12,53,60,225,75,7.5692,1.5927410381012743,Long_Games
39418,Dinosaur Land,2008,BaseGame,under 5,2,4,1.0,1,20,2,0,0,0,2,2,3.0,1.0,Median_Games
